KA0720971,Bajaj,Apache,Available,926
KA0714250,Yamaha,Pulsar,Booked,605
KA0734336,Yamaha,Pulsar,Booked,764
KA0712198,Suzuki,Apache,Available,496
KA0729065,TVS,Pulsar,Available,463
KA0731485,Bajaj,Duke,Booked,782
KA0714577,Bajaj,Pulsar,Booked,641
KA0726927,Suzuki,Pulsar,Available,325
KA0710813,Yamaha,Duke,Booked,569
KA0741697,Bajaj,Duke,Available,933
KA0729132,TVS,Apache,Booked,349
KA0729407,Bajaj,R15,Booked,388
KA0727481,Honda,Pulsar,Available,916
KA0727716,Honda,Pulsar,Available,875
KA0714588,Honda,Pulsar,Available,307
KA0711958,Bajaj,Duke,Available,408
KA0741988,KTM,R15,Booked,422
KA0720956,KTM,Pulsar,Booked,576
KA0714005,TVS,Duke,Available,331
KA0713163,Suzuki,Apache,Booked,693
KA0719254,Suzuki,Pulsar,Available,335
KA0736749,Yamaha,Pulsar,Available,605
KA0719246,Suzuki,Apache,Available,459
KA0733127,Honda,Pulsar,Booked,589
KA0723783,Honda,Duke,Booked,831
KA0723050,TVS,Duke,Booked,718
KA0736334,TVS,R15,Available,968
KA0713841,Bajaj,R15,Booked,400
KA0732900,Honda,Duke,Available,809
KA0728347,KTM,Duke,Booked,350
KA0734916,Honda,Pulsar,Available,843
KA0733098,Bajaj,Duke,Booked,691
KA0719619,TVS,Pulsar,Available,739
KA0724543,Suzuki,Duke,Booked,331
KA0716314,Bajaj,Pulsar,Booked,866
KA0724888,Yamaha,Pulsar,Booked,315
KA0723545,KTM,Duke,Booked,736
KA0716628,Yamaha,R15,Available,500
KA0725068,TVS,R15,Booked,608
KA0726696,Bajaj,Pulsar,Available,957
KA0710121,TVS,Pulsar,Booked,682
KA0738740,KTM,R15,Available,586
KA0710773,Honda,Duke,Booked,869
KA0737231,KTM,Pulsar,Available,676
KA0723071,Yamaha,Duke,Available,949
KA0713090,Honda,Duke,Available,456
KA0720491,Bajaj,Apache,Booked,549
KA0726290,Bajaj,Duke,Booked,444
KA0737118,Bajaj,R15,Booked,839
KA0721605,TVS,Duke,Available,919
KA0738700,Suzuki,Duke,Booked,555
KA0732231,Yamaha,Apache,Available,591
